Tournament 1
NastyPlayer: 328.0932 points.
FreakyPlayer: 317.94586 points.
NicePlayer: 314.6908 points.
HardMajorityPlayer: 312.855 points.
RandomPlayer: 263.83298 points.
ReverseT4TPlayer: 222.89693 points.

Tournament 20
BestPlayer: 422.30972 points.
FirmButFairPlayer: 412.2151 points.
GrimTriggerPlayer: 411.25912 points.
GradualPlayer: 409.2667 points.
TolerantPlayer: 400.4123 points.
T4TPlayer: 384.97284 points.
FreakyPlayer: 324.22235 points.
NicePlayer: 316.12778 points.
NastyPlayer: 315.1474 points.
HardMajorityPlayer: 314.03046 points.
RandomPlayer: 268.2521 points.
ReverseT4TPlayer: 234.73918 points.
